timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T16:45:00Z,15096.735,2726.25
2018-01-01T16:48:20Z,15096.81,2726.25
2018-01-01T16:50:00Z,15096.91,2726.25
2018-01-01T16:53:20Z,15097.01,2726.25
2018-01-01T16:55:00Z,15097.11,2726.25
2018-01-01T16:58:20Z,15097.21,2726.25
2018-01-01T17:00:00Z,15097.294999999998,2726.25
2018-01-01T17:03:20Z,15097.38,2726.25
2018-01-01T17:05:00Z,15097.474999999999,2726.25
2018-01-01T17:08:20Z,15097.57,2726.25
2018-01-01T17:10:00Z,15097.66,2726.25
2018-01-01T17:13:20Z,15097.75,2726.25
2018-01-01T17:15:00Z,15097.84,2726.25
2018-01-01T17:18:20Z,15097.93,2726.25
2018-01-01T17:20:00Z,15098.015,2726.25
2018-01-01T17:23:20Z,15098.1,2726.25
2018-01-01T17:25:00Z,15098.195,2726.25
2018-01-01T17:28:20Z,15098.29,2726.25
2018-01-01T17:30:00Z,15098.380000000001,2726.25
2018-01-01T17:33:20Z,15098.47,2726.25
2018-01-01T17:35:00Z,15098.564999999999,2726.25
2018-01-01T17:38:20Z,15098.66,2726.25
2018-01-01T17:40:00Z,15098.744999999999,2726.25
2018-01-01T17:43:20Z,15098.83,2726.25
2018-01-01T17:45:00Z,15098.915,2726.25
2018-01-01T17:48:20Z,15099.0,2726.25
2018-01-01T17:50:00Z,15099.105,2726.25
2018-01-01T17:53:20Z,15099.21,2726.25
2018-01-01T17:55:00Z,15099.29,2726.25
2018-01-01T17:58:20Z,15099.37,2726.25
2018-01-01T18:00:00Z,15099.470000000001,2726.25
2018-01-01T18:03:20Z,15099.57,2726.25
2018-01-01T18:05:00Z,15099.654999999999,2726.25
2018-01-01T18:08:20Z,15099.74,2726.25
2018-01-01T18:10:00Z,15099.825,2726.25
2018-01-01T18:13:20Z,15099.91,2726.25
2018-01-01T18:15:00Z,15100.01,2726.25
2018-01-01T18:18:20Z,15100.11,2726.25
2018-01-01T18:20:00Z,15100.195,2726.25
2018-01-01T18:23:20Z,15100.28,2726.25
2018-01-01T18:25:00Z,15100.369999999999,2726.25
2018-01-01T18:28:20Z,15100.46,2726.25
2018-01-01T18:30:00Z,15100.555,2726.25
2018-01-01T18:33:20Z,15100.65,2726.25
2018-01-01T18:35:00Z,15100.74,2726.25
2018-01-01T18:38:20Z,15100.83,2726.25
2018-01-01T18:40:00Z,15100.925,2726.25
2018-01-01T18:43:20Z,15101.02,2726.25
2018-01-01T18:45:00Z,15101.1,2726.25
2018-01-01T18:48:20Z,15101.18,2726.25
2018-01-01T18:50:00Z,15101.279999999999,2726.25
2018-01-01T18:53:20Z,15101.38,2726.25
2018-01-01T18:55:00Z,15101.47,2726.25
2018-01-01T18:58:20Z,15101.56,2726.25
2018-01-01T19:00:00Z,15101.65,2726.25
2018-01-01T19:03:20Z,15101.74,2726.25
2018-01-01T19:05:00Z,15101.83,2726.25
2018-01-01T19:08:20Z,15101.92,2726.25
2018-01-01T19:10:00Z,15102.015,2726.25
2018-01-01T19:13:20Z,15102.11,2726.25
2018-01-01T19:15:00Z,15102.2,2726.25
2018-01-01T19:18:20Z,15102.29,2726.25
2018-01-01T19:20:00Z,15102.37,2726.25
2018-01-01T19:23:20Z,15102.45,2726.25
2018-01-01T19:25:00Z,15102.545,2726.25
2018-01-01T19:28:20Z,15102.64,2726.25
2018-01-01T19:30:00Z,15102.73,2726.25
2018-01-01T19:33:20Z,15102.82,2726.25
2018-01-01T19:35:00Z,15102.915,2726.25
2018-01-01T19:38:20Z,15103.01,2726.25
2018-01-01T19:40:00Z,15103.105,2726.25
2018-01-01T19:43:20Z,15103.2,2726.25
2018-01-01T19:45:00Z,15103.275000000001,2726.25
2018-01-01T19:48:20Z,15103.35,2726.25
2018-01-01T19:50:00Z,15103.45,2726.25
2018-01-01T19:53:20Z,15103.55,2726.25
2018-01-01T19:55:00Z,15103.634999999998,2726.25
2018-01-01T19:58:20Z,15103.72,2726.25
2018-01-01T20:00:00Z,15103.814999999999,2726.25
2018-01-01T20:03:20Z,15103.91,2726.25
2018-01-01T20:05:00Z,15104.0,2726.25
2018-01-01T20:08:20Z,15104.09,2726.25
2018-01-01T20:10:00Z,15104.175,2726.25
2018-01-01T20:13:20Z,15104.26,2726.25
2018-01-01T20:15:00Z,15104.35,2726.25
2018-01-01T20:18:20Z,15104.44,2726.25
2018-01-01T20:20:00Z,15104.535,2726.25
2018-01-01T20:23:20Z,15104.63,2726.25
2018-01-01T20:25:00Z,15104.71,2726.25
2018-01-01T20:28:20Z,15104.79,2726.25
2018-01-01T20:30:00Z,15104.895,2726.25
2018-01-01T20:33:20Z,15105.0,2726.25
2018-01-01T20:35:00Z,15105.085,2726.25
2018-01-01T20:38:20Z,15105.17,2726.25
2018-01-01T20:40:00Z,15105.26,2726.25
2018-01-01T20:43:20Z,15105.35,2726.25
2018-01-01T20:45:00Z,15105.45,2726.25
2018-01-01T20:48:20Z,15105.55,2726.25
2018-01-01T20:50:00Z,15105.64,2726.25
2018-01-01T20:53:20Z,15105.73,2726.25
2018-01-01T20:55:00Z,15105.814999999999,2726.25
2018-01-01T20:58:20Z,15105.9,2726.25
2018-01-01T21:00:00Z,15105.994999999999,2726.25
2018-01-01T21:03:20Z,15106.09,2726.25
2018-01-01T21:05:00Z,15106.18,2726.25
2018-01-01T21:08:20Z,15106.27,2726.25
2018-01-01T21:10:00Z,15106.36,2726.25
